ID,Icon_ID,Icon_Size,Opacity,Latitude,Longitude
Bečov nad Teplou,2.0,50,1.0,50.085601,12.8398053
Benešov nad Ploučnicí,1.0,50,1.0,50.7423227,14.3114262
Bezděz,0.0,50,1.0,50.5389642,14.7198453
Bítov,0.0,50,1.0,48.9438387,15.7004652
Bouzov,0.0,50,1.0,49.7049411,16.8895083
Březnice,1.0,50,1.0,49.5575294,13.9560413
Bučovice,1.0,50,1.0,49.1496409,17.0014607
Buchlov,0.0,50,1.0,49.1074851,17.3109453
Buchlovice,1.0,50,1.0,49.0839637,17.337124
Červená Lhota,1.0,50,1.0,49.2466362,14.8851605
Červené Poříčí,1.0,50,1.0,49.5012693,13.2952674
Český Krumlov,2.0,50,1.0,48.8128498,14.3139887
Dačice,1.0,50,1.0,49.0795005,15.4315282
Duchcov,1.0,50,1.0,50.6021882,13.7446131
Důl Michal v Ostravě,,50,1.0,,
Frýdlant,2.0,50,1.0,50.9148748,15.0837108
Grabštejn,0.0,50,1.0,50.8461811,14.8760244
Gutštejn,0.0,50,1.0,49.85172,13.01619
Hamousův statek ve Zbečně,,50,1.0,,
Házmburk,0.0,50,1.0,50.4342007,14.0144563
Hluboká nad Vltavou,1.0,50,1.0,49.0511239,14.4415939
Horšovský Týn,2.0,50,1.0,49.5295994,12.9423919
Hořovice,1.0,50,1.0,49.8377073,13.908264
hospitál Kuks,,50,1.0,,
Hradec nad Moravicí,1.0,50,1.0,49.8654833,17.874451
Hrádek u Nechanic,1.0,50,1.0,50.2256742,15.6678419
Hrubý Rohozec,1.0,50,1.0,50.5982192,15.1575356
Invalidovna,,50,1.0,,
Jánský Vrch,1.0,50,1.0,50.3898258,17.0003429
Janův hrad,0.0,50,1.0,48.804575,16.8323142
Jaroměřice nad Rokytnou,1.0,50,1.0,49.0936255,15.8922006
Jezeří,1.0,50,1.0,50.5539388,13.5048561
Jindřichův Hradec,2.0,50,1.0,49.1419895,15.0005379
Karlštejn,0.0,50,1.0,49.9396811,14.1881145
Kladruby,,50,1.0,,
Konopiště,1.0,50,1.0,49.7795741,14.6565338
kostel Nanebevzetí Panny Marie v Mostě,,50,1.0,,
kostel sv. Floriána v Krásném Březně,,50,1.0,,
kostel sv. Víta v Zahrádce,,50,1.0,,
Kozel,1.0,50,1.0,49.6707013,13.530001
Krakovec,0.0,50,1.0,50.0172804,13.6391451
Krásný Dvůr,1.0,50,1.0,50.252197,13.369752
Kratochvíle,1.0,50,1.0,49.058488,14.1681188
Křivoklát,0.0,50,1.0,50.0376417,13.8724605
Kunětická hora,0.0,50,1.0,50.080313,15.811625
Kunštát,1.0,50,1.0,49.502246,16.5109166
Květná zahrada Kroměříž,0.0,50,1.0,,
Kynžvart,1.0,50,1.0,50.0043548,12.6054912
Landštejn,0.0,50,1.0,49.0243843,15.2300876
Lednice,1.0,50,1.0,48.8015481,16.8056971
Lemberk,1.0,50,1.0,50.777357,14.787879
Libochovice,1.0,50,1.0,50.405074,14.0437106
Lipnice,0.0,50,1.0,49.6140045,15.4130487
Litice,0.0,50,1.0,50.0856667,16.351865
Litomyšl,1.0,50,1.0,49.8735022,16.31294
Lysice,1.0,50,1.0,49.453234,16.533212
Manětín,1.0,50,1.0,49.9914446,13.2324262
Milotice,1.0,50,1.0,48.959516,17.1378951
Mnichovo Hradiště,1.0,50,1.0,50.5275128,14.9709561
Mníšek pod Brdy,1.0,50,1.0,49.8683015,14.2582754
Náchod,1.0,50,1.0,50.4188431,16.16166
Náměšť nad Oslavou,1.0,50,1.0,49.2086821,16.1623694
Nebílovy,1.0,50,1.0,49.6300011,13.430694
Nové Hrady,0.0,50,1.0,48.7894543,14.774839
Nový Hrádek u Lukova,0.0,50,1.0,48.8373735,15.9061353
Opočno,1.0,50,1.0,50.2648988,16.1153414
Pernštejn,0.0,50,1.0,49.45106,16.318122
Plasy,,50,1.0,,
Ploskovice,1.0,50,1.0,50.5597613,14.200665
Přimda,0.0,50,1.0,49.67974,12.6670199
Rabí,0.0,50,1.0,49.2798065,13.6189483
Raduň,1.0,50,1.0,49.8912459,17.9445915
Rájec nad Svitavou,1.0,50,1.0,49.4092668,16.6440723
Ratibořice,1.0,50,1.0,50.4148629,16.0525298
Rožmberk,0.0,50,1.0,48.6559022,14.3650338
Sázava,,50,1.0,,
Selský dvůr U Matoušů v Plzni-Bolevci,,50,1.0,,
Slatiňany,1.0,50,1.0,49.9192967,15.8109111
Stekník,1.0,50,1.0,50.323249,13.6235121
Sychrov,1.0,50,1.0,50.6262828,15.0889329
Šternberk,0.0,50,1.0,49.733056,17.301858
Švihov,0.0,50,1.0,49.4789149,13.2854089
Telč,1.0,50,1.0,49.1853943,15.451354
Točník,0.0,50,1.0,49.8906082,13.8876781
Trosky,0.0,50,1.0,50.5163889,15.231389
Třeboň,1.0,50,1.0,49.0031314,14.7697466
Uherčice,1.0,50,1.0,48.9141244,15.6340783
Valeč,1.0,50,1.0,50.1747384,13.2520227
Valtice,1.0,50,1.0,48.7395035,16.7555814
Velhartice,0.0,50,1.0,49.2629468,13.3995954
Velké Březno,1.0,50,1.0,50.6624718,14.1385299
Velké Losiny,1.0,50,1.0,50.0234475,17.0313608
Veltrusy,1.0,50,1.0,50.2775664,14.3298447
Veveří,0.0,50,1.0,49.2567688,16.4617601
vila Stiassni v Brně,,50,1.0,,
Vimperk,1.0,50,1.0,49.0524622,13.7744861
Vizmburk,0.0,50,1.0,50.4851145,16.0498901
Vizovice,1.0,50,1.0,49.2197066,17.8505518
Vranov nad Dyjí,1.0,50,1.0,48.8925422,15.8108513
Zahrady pod Pražským hradem,0.0,50,1.0,,
Zákupy,1.0,50,1.0,50.6875456,14.6438463
Zlatá Koruna,,50,1.0,,
Zvíkov,0.0,50,1.0,49.4389272,14.1925296
Žebrák,0.0,50,1.0,49.8869287,13.8816403
Žleby,1.0,50,1.0,49.8882513,15.4840036
