name;Crowd_limit;Nazev_okruhu;Time_duration;Tours_content
Šternberk;max. 35 osob;Život na šlechtickém sídle (základní okruh II.);délka 50 minut;Zahrnuje prohlídku pokojů druhého patra, kam patří např. Dámský salón, Lovecký pokoj nebo Velká jídelna. Součástí prohlídky je i návštěva zrekonstruované Liechtensteinské kuchyně. Přibližuje život šlechty od konce 18. do začátku 20. století, tedy dobu, kdy byl hrad ve vlastnictví rodu Liechtensteinů. Délka prohlídka cca 50 minut.
Kunštát;max. 25 osob;Život na středověkém hradě II (školní okruh II);délka 60 minut;Výukový program pro mateřské školy
Kunštát;max. 25 osob;Život na středověkém hradě I (školní okruh I);délka 60 minut;Výukový program pro I. a II. stupeň základní školy
Hořovice;max. 25 osob;Život na panském sídle;délka 45 minut;Základní prohlídkový okruh. Reprezentační prostory představují historii zámku v 18., 19. a první polovině 20. století. Prohlídka zahrnuje schodišťovou halu s barokní freskou, Hlavní (Recepční) sál, Červený a Zelený salónek, velkou jídelnu, oválnou knihovnu, hernu, Zlatý salónek a lázeň kněžny v prvním patře v kontrastu místností služebnictva v přízemí.
Sychrov;max. 10 osob;Zlatý poklad;délka 15 minut;Kolekce vzácných předmětů ze sychrovských sbírek a šperkařských plastik Františka Khynla.
Veltrusy;max. 25 osob;Zlaté časy ve službách císařovny;délka 50 minut;Připomínka barokní slávy zámku a návštěvy císařovny. Hlavní sál, obrazárna, salon Marie Terezie… tak jak je majitelé ve vzpomínce na tuto velkolepou událost uchovali. Další komnaty jsou součástí apartmánu paní hraběnky z 19. století.
Pernštejn;max. 35 osob;Zkrácený okruh (základní okruh);délka 50 minut;Prohlídkový okruh je zkrácenou a proto lacinější verzí prvního okruhu. Vynechává druhé a třetí patro, nicméně provádí návštěvníka velmi atraktivními prostorami od vyhlídkové věže přes první patro do hradní knihovny. Je vhodný pokud máte málo času, nebo děti, které nevydrží delší prohlídku. Rezervace není povinná, ale pokud nechcete čekat, doporučujeme ji. Termíny prohlídek dle okamžitého zájmu, Čas poslední prohlídky není možné z provozních důvodů rezervovat, doporučujeme však informovat se telefonicky o volné kapacitě míst na tento čas. Není povolen vstup se zvířaty, ani nesenými, či v zavazadlech. Není povolen vstup s většími zavazadly a zavazadly nesenými na zádech, lze je před prohlídkou uložit v šatně. S průvodcem.
Litomyšl;max. 20 osob;Zimní trasa - uzavřeno;délka 45 minut;Od roku 2024 se můžete podívat do zámeckých interiérů také mimo hlavní sezónu. Zimní trasa vás zavede do vybraných historických interiérů, které letos prošly rekonstrukcí a jsou k vidění zcela poprvé. Prohlídka dalších interiérů z doby hraběcí rodiny Valdštejnů zahrnuje prostory ve 2. patře - nejstarší divadelní sál z 60. let 18. století, apartmá pro hosty Valdštejnů (salon, pracovna, ložnice s arkýřovou kaplí), panskou oratoř - a v přízemí historickou kuchyni. Začátky prohlídek čt-pá: 10:00, 12:00, 14:00 hodin. Začátky prohlídek so: 10:00, 11:00, 12:00, 13:00, 14:00 hodin.
Bouzov;max. 20 osob;Zimní trasa;délka 50 minut;Mimořádné zimní prohlídky reprezentativními prostorami hradu Bouzova v měsíci březnu a listopadu.
Hluboká nad Vltavou;max. 20 osob;Zimní prohlídková trasa (základní okruh);délka 40 minut;Přišel podzim, a přesto zámek Hluboká stále vítá návštěvníky. Bývalo tradicí, že se brány zámku pro turisty uzavřely 31. října a čekalo se až do 1. dubna následujícího roku... Temperované prostory však umožňují pracovníkům zámku i v chladném období přivítat zájemce o prohlídku. Je co nabídnout. Postupně se instalovaly pokoje, které patří spíše ke komornějším. Ve větší části přízemí, které nabízí ke zhlédnutí zimní zámecký okruh, byla soukromá apartmá posledních čtyř generací majitelů hlubockého panství. Nejprve projdeme do Hamiltonova salonu. Již na chodbě, kromě trofejí a grafických listů z 18. století s tématem lovu, si můžeme povšimnout zarámovaných fotografií členů knížecího rodu Schwarzenbergů. Motiv lovu nás provází i v dalších prostorách, kuřáckého salonu a malé jídelně Terezie. Dále následuje honosná lovecká jídelna, přípravna, malá jídelna Dr. Adolfa, jeho pracovna, obývací pokoj a ložnice.
Valtice;max. 20 osob;Zimní prohlídka barokní kaple a divadla;délka 55 minut;Oblíbené zimní prohlídky zámecké kaple a divadla nabídne zámek Valtice také v sezóně 2025, a to od 21. února až do 21. března.
Zákupy;max. 25 osob;Zimní okruh;délka 60 minut;Zimní okruh zahrnuje mimo jiné předkaplí, zámeckou kapli, lovecký pokoj korunního prince Rudolfa, apartmá arcivévodkyně Marie Terezy (nevlastní matky následníka trůnu Františka Ferdinanda d´Este), kardinálský pokoj, apartmá Terezie z Fürstenbergu (hofmistryně císařovny Marie Anny Karoliny) a pokoje v I. patře, zařízené jako honosný byt z období tzv. první republiky (předsíň, pracovna, parádní pokoj, kuchyně, koupelna, dětský pokoj a ložnice). Všechny místnosti zimního okruhu jsou bohatě zařízeny nábytkem, obrazy, porcelánem, loveckými trofejemi atd. Součástí zimního okruhu je i historická zámecká kuchyně v přízemí zámku.
Náchod;max. 15 osob;Ze sklepení na věž (Individuální okruh);délka 30 minut;Prohlídkový okruh přístupný bez průvodce zahrnuje prohlídku obranné věže s hladomornou. V případě špatného počasí bude věž zavřena!
Šternberk;max. 30 osob;Zdeněk Adámek: Hrad Šternberk ve 4 ročních obdobích;délka 30 minut;Doprovodná sezónní výstava v prostorách na dolním nádvoří hradu.
Frýdlant;max. 25 osob;Zbraně, zbroj a rytíři;délka 45 minut;Prohlídková trasa zavede návštěvníka do druhého patra, kde je deponována velká hradní zbrojnice. V devíti prostorách si prohlédnete zbraně od pozdního středověku, až po devatenácté století, včetně zbraní z Orientu. Prohlídku zakončí návštěva hradní věže s možností vyhlídky.
Litomyšl;max. 25 osob;Zámek za Valdštejnů (základní okruh);délka 50 minut;Prohlídka prvního patra západního křídla zámku s reprezentačními a soukromými pokoji hraběte Antonína I. z Valdštejna-Vartenberka a jeho choti Kajetány z Fünfkirchen (předpokoj, audienční sál, zelený salon, modrý salon, pracovna hraběte, ložnice hraběcího páru, čítárna, biliár, salon hraběnky, ložnice pro hosty, kávová kuchyně s bydlením komorné, přípravna jídel), kteří vlastnili zámek mezi lety 1825-1848. Interiéry prošly v roce 2021 zásadní obměnou, která jim vrátila někdejší funkci a zařízení na základě historických pramenů. Interiéry se honosí původním zařízením (nábytek, obrazy, sklo, porcelán) a klasicistní výmalbou stěn od malíře Dominika Dvořáka. Prohlídka vrcholí návštěvou autentického domácího divadla Valdštejnů-Vartenberků z roku 1797. Divadlo si nechal zřídit Antonínův otec hrabě Jiří Josef z Valdštejna-Vartenberka, jenž spolu se svou rodinou také v představeních hrával. V oblibě byly zejména lehké konverzační komedie. Dochovala se zde původní jevištní mašinerie a osvětlovací technika. Autorem kulis je malíř Josef Platzer, jenž namaloval rovněž kulisy pro vídeňské dvorní divadlo či pro Stavovské divadlo v Praze. Tato trasa připomene také starší historii zámku před příchodem Valdštejnů od jeho založení Vratislavem II. z Pernštejna v polovině 16. století a hraběcí rodinu Trauttmansdorffů.
